calculated_host_listings_count,availability_365,neighbourhood_n,longitude,room_type_n,price
1.0,189.0,0.0,-73.97777,1.0,89
1.0,73.0,44.0,-73.90779,0.0,30
1.0,0.0,7.0,-73.99016,0.0,120
327.0,272.0,43.0,-74.0105,1.0,470
1.0,30.0,4.0,-73.93287,1.0,199
1.0,28.0,12.0,-73.95406,1.0,170
1.0,0.0,12.0,-73.96133,0.0,90
1.0,121.0,118.0,-73.84542,1.0,60
1.0,55.0,27.0,-73.99793,1.0,150
4.0,70.0,173.0,-73.82774,1.0,74
4.0,354.0,83.0,-73.87949,2.0,28
1.0,365.0,126.0,-73.90315,0.0,200
1.0,4.0,19.0,-73.97771,1.0,230
1.0,0.0,3.0,-73.96784,0.0,48
1.0,0.0,13.0,-73.97579,1.0,100
1.0,0.0,68.0,-73.98259,0.0,100
1.0,133.0,6.0,-73.94514,1.0,115
1.0,0.0,27.0,-74.00298,0.0,94
1.0,6.0,20.0,-73.94932,1.0,124
1.0,0.0,8.0,-73.98473,1.0,235
1.0,84.0,182.0,-73.89238,0.0,40
1.0,0.0,2.0,-73.95759,1.0,115
1.0,272.0,12.0,-73.94045,1.0,250
1.0,0.0,11.0,-74.00462,1.0,145
1.0,0.0,23.0,-73.9894,1.0,200
232.0,38.0,77.0,-74.00654,1.0,312
1.0,162.0,72.0,-73.91833,0.0,53
6.0,180.0,76.0,-73.97642,2.0,79
1.0,19.0,12.0,-73.96396,0.0,60
103.0,246.0,2.0,-73.94157,0.0,40
1.0,0.0,19.0,-73.97696,0.0,70
1.0,344.0,106.0,-73.79693,1.0,300
52.0,336.0,20.0,-73.94136,1.0,129
1.0,84.0,19.0,-73.98001,0.0,75
1.0,0.0,29.0,-73.97113,1.0,124
1.0,0.0,12.0,-73.96291,0.0,80
1.0,22.0,30.0,-73.93979,1.0,100
1.0,250.0,7.0,-73.99357,0.0,63
1.0,0.0,23.0,-73.98726,1.0,99
12.0,0.0,67.0,-73.96871,2.0,28
1.0,0.0,4.0,-73.93752,1.0,95
1.0,75.0,2.0,-73.94686,1.0,175
17.0,365.0,21.0,-73.92077,0.0,55
25.0,363.0,8.0,-73.98833,1.0,190
2.0,32.0,2.0,-73.95538,0.0,100
1.0,0.0,64.0,-73.99461,1.0,250
1.0,0.0,23.0,-73.98245,0.0,77
1.0,298.0,43.0,-74.00927,1.0,500
1.0,0.0,2.0,-73.95046,1.0,100
1.0,49.0,1.0,-73.96545,0.0,160
1.0,0.0,15.0,-73.92643,1.0,90
2.0,0.0,7.0,-73.99386,1.0,130
4.0,0.0,16.0,-73.97865,0.0,139
6.0,225.0,7.0,-73.98567,0.0,70
1.0,357.0,7.0,-73.99375,1.0,225
1.0,0.0,71.0,-73.98668,0.0,150
1.0,4.0,21.0,-73.92477,1.0,98
1.0,99.0,34.0,-73.99158,1.0,125
2.0,34.0,25.0,-73.93075,0.0,130
1.0,38.0,21.0,-73.9081,1.0,145
18.0,352.0,126.0,-73.89956,0.0,39
1.0,0.0,21.0,-73.91587,0.0,47
1.0,365.0,37.0,-73.80868,1.0,450
2.0,178.0,2.0,-73.94193,0.0,80
2.0,0.0,22.0,-73.95325,0.0,50
1.0,0.0,14.0,-73.99489,1.0,300
2.0,173.0,56.0,-73.91648,0.0,46
1.0,88.0,123.0,-74.00625,0.0,99
1.0,342.0,15.0,-73.93981,1.0,98
2.0,333.0,123.0,-74.00787,1.0,145
3.0,99.0,6.0,-73.92377,0.0,38
1.0,0.0,3.0,-73.96505,1.0,125
2.0,0.0,76.0,-73.99166,0.0,125
1.0,360.0,103.0,-73.87183,1.0,150
1.0,0.0,21.0,-73.92652,0.0,55
1.0,0.0,23.0,-73.98608,1.0,225
1.0,11.0,16.0,-73.97357,1.0,160
1.0,248.0,19.0,-73.98295,1.0,195
6.0,0.0,63.0,-73.8502,1.0,278
1.0,151.0,37.0,-73.8276,1.0,188
1.0,42.0,16.0,-73.97796,1.0,600
7.0,264.0,6.0,-73.95541,0.0,70
1.0,89.0,44.0,-73.89343,0.0,20
1.0,0.0,11.0,-74.00487,1.0,150
1.0,0.0,28.0,-73.95178,1.0,155
1.0,43.0,36.0,-73.9989,1.0,170
1.0,0.0,20.0,-73.95209,1.0,100
1.0,26.0,49.0,-73.9093,1.0,100
1.0,0.0,14.0,-73.99344,0.0,125
3.0,332.0,2.0,-73.94889,0.0,87
4.0,332.0,15.0,-73.93333,0.0,52
1.0,7.0,4.0,-73.93764,1.0,240
1.0,75.0,2.0,-73.93926,1.0,102
1.0,0.0,30.0,-73.94295,0.0,70
1.0,269.0,6.0,-73.93045,1.0,125
2.0,155.0,100.0,-73.91275,1.0,125
1.0,0.0,8.0,-73.98205,1.0,220
3.0,0.0,2.0,-73.95315,0.0,55
1.0,267.0,68.0,-73.98303,0.0,120
1.0,321.0,39.0,-73.90817,1.0,179
2.0,156.0,3.0,-73.9612,0.0,59
1.0,0.0,79.0,-73.99111,1.0,100
1.0,246.0,6.0,-73.94139,0.0,50
1.0,0.0,24.0,-73.95222,0.0,60
1.0,147.0,1.0,-73.98499,1.0,295
10.0,357.0,25.0,-73.93644,0.0,89
1.0,363.0,21.0,-73.92589,0.0,70
6.0,342.0,6.0,-73.95936,1.0,282
2.0,359.0,21.0,-73.92542,1.0,160
1.0,0.0,19.0,-73.98283,0.0,100
2.0,170.0,21.0,-73.91344,0.0,60
1.0,0.0,63.0,-73.85156,1.0,50
1.0,10.0,31.0,-73.89995,0.0,80
1.0,249.0,13.0,-73.97296,0.0,70
1.0,44.0,98.0,-73.91791,0.0,53
1.0,0.0,12.0,-73.96056,0.0,100
2.0,0.0,2.0,-73.95012,1.0,165
1.0,156.0,99.0,-73.90978,0.0,45
1.0,0.0,6.0,-73.94978,0.0,75
1.0,160.0,12.0,-73.96376,1.0,150
2.0,364.0,82.0,-73.96231,2.0,30
1.0,361.0,54.0,-73.94587,1.0,90
1.0,249.0,63.0,-73.84647,0.0,37
327.0,347.0,43.0,-74.00479,1.0,137
1.0,332.0,61.0,-73.75584,1.0,75
3.0,18.0,21.0,-73.91644,0.0,50
2.0,25.0,12.0,-73.93737,0.0,60
2.0,0.0,2.0,-73.95628,0.0,50
1.0,0.0,82.0,-73.96051,1.0,99
1.0,358.0,12.0,-73.94609,0.0,75
1.0,0.0,7.0,-73.99798,0.0,89
3.0,312.0,75.0,-74.02942,1.0,150
1.0,0.0,28.0,-73.95621,1.0,150
1.0,166.0,8.0,-73.97342,1.0,350
1.0,0.0,2.0,-73.9518,0.0,38
14.0,361.0,1.0,-73.97454,0.0,475
1.0,0.0,49.0,-73.90913,1.0,150
1.0,0.0,6.0,-73.94057,0.0,42
1.0,0.0,6.0,-73.93449,0.0,35
1.0,3.0,21.0,-73.9242,1.0,90
1.0,179.0,21.0,-73.91109,0.0,50
5.0,364.0,35.0,-73.92591,0.0,130
1.0,2.0,12.0,-73.96474,1.0,250
6.0,151.0,2.0,-73.94446,0.0,50
2.0,0.0,7.0,-73.99148,0.0,95
1.0,342.0,87.0,-73.86773,1.0,275
1.0,0.0,6.0,-73.94758,0.0,88
1.0,129.0,2.0,-73.95275,0.0,115
1.0,0.0,19.0,-73.98679,0.0,140
1.0,0.0,7.0,-73.99932,1.0,525
1.0,0.0,2.0,-73.94935,1.0,100
1.0,151.0,8.0,-73.97268,1.0,121
96.0,290.0,43.0,-74.00845,1.0,175
1.0,15.0,43.0,-74.01511,1.0,200
1.0,0.0,37.0,-73.82708,0.0,35
1.0,0.0,12.0,-73.94578,1.0,250
1.0,0.0,20.0,-73.94203,1.0,137
1.0,189.0,6.0,-73.95044,1.0,120
4.0,353.0,27.0,-74.00034,0.0,100
1.0,122.0,64.0,-73.99439,1.0,269
2.0,0.0,6.0,-73.95101,0.0,75
4.0,185.0,23.0,-73.98703,0.0,71
1.0,166.0,97.0,-73.98091,0.0,69
2.0,59.0,34.0,-73.99164,0.0,95
2.0,361.0,63.0,-73.84109,0.0,83
20.0,311.0,7.0,-73.99214,1.0,130
1.0,0.0,20.0,-73.95706,1.0,165
1.0,0.0,21.0,-73.92058,1.0,130
1.0,0.0,23.0,-73.98906,0.0,65
1.0,0.0,30.0,-73.93555,1.0,88
1.0,0.0,8.0,-73.96607,0.0,38
1.0,0.0,75.0,-74.03473,1.0,110
1.0,241.0,20.0,-73.95132,0.0,152
1.0,0.0,14.0,-74.00237,1.0,150
1.0,31.0,56.0,-73.90995,0.0,65
1.0,73.0,77.0,-74.00491,1.0,380
232.0,206.0,71.0,-73.98521,1.0,276
1.0,0.0,8.0,-73.97739,0.0,65
3.0,171.0,55.0,-74.09099,1.0,199
1.0,27.0,20.0,-73.94355,0.0,150
1.0,0.0,15.0,-73.94875,1.0,125
1.0,0.0,12.0,-73.96296,0.0,69
12.0,0.0,1.0,-73.97137,1.0,339
1.0,335.0,6.0,-73.93967,1.0,150
2.0,311.0,70.0,-73.87866,1.0,86
1.0,48.0,70.0,-73.87083,1.0,160
2.0,342.0,28.0,-73.95273,0.0,105
